"","text","stringAsFactors"
"1","tetap waspada terhadap virus covid disiplin jaga prokes yuk covid covid covidvacccine vaksìncovid vaksìnasicovid vaksìnbooster ",FALSE
"2","kasus covid meningkat ayo segera lengkapi vaksin untuk perlindungan tubuh  covid covid covidvacccine vaksìncovid vaksìnbooster ",FALSE
"3","pelayanan vaksinasi covid rsup persahabatan per  november   kemenkesri  vaksìncovid ",FALSE
"4","covid sedang naik tetap jaga prokes  vaksìnbooster vaksìnbooster lawanviruskorona indonesiasehatekonomibangkit vaksìncovid prokes prokescovid protokolkesehatancovid ",FALSE
"5","jangan lupa utk vaksin  vaksìnbooster vaksìnbooster lawanviruskorona indonesiasehatekonomibangkit vaksìncovid prokes prokescovid protokolkesehatancovid ",FALSE
"6","vaksinasi terbukti efektif menjaga bahkan meningkatkan kekebalan tubuh ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"7","vaksinasi terbukti efektif menjaga bahkan meningkatkan kekebalan tubuh ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"8","vaksinasi terbukti efektif menjaga bahkan meningkatkan kekebalan tubuh ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"9","vaksinasi terbukti efektif menjaga bahkan meningkatkan kekebalan tubuh ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"10","vaksinasi terbukti efektif menjaga bahkan meningkatkan kekebalan tubuh ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"11","vaksinasi terbukti efektif menjaga bahkan meningkatkan kekebalan tubuh ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"12","vaksinasi terbukti efektif menjaga bahkan meningkatkan kekebalan tubuh ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"13","vaksinasi terbukti efektif menjaga bahkan meningkatkan kekebalan tubuh ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"14","vaksinasi terbukti efektif menjaga bahkan meningkatkan kekebalan tubuh ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"15","vaksinasi booster adalah cara atasi pandemi covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"16","cegah varian xbb dengan lengkapi vaksin covid  vaksin vaksìncovid vaksìnbooster ",FALSE
"17","vaksinasi booster adalah cara atasi pandemi covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"18","vaksinasi booster adalah cara atasi pandemi covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"19","vaksinasi booster adalah cara atasi pandemi covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"20","vaksinasi booster adalah cara atasi pandemi covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"21","vaksinasi booster adalah cara atasi pandemi covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"22","vaksinasi booster adalah cara atasi pandemi covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"23","vaksinasi booster adalah cara atasi pandemi covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"24","vaksinasi booster adalah cara atasi pandemi covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
"25","vaksinasi booster adalah cara atasi pandemi covid ayokitavaksin ayovaksìncovid vaksìnbooster vaksìncovid vaksinasicovid vaksinaman bersatulawancovid bersamalawancorona polrestabanan ",FALSE
